date_time,El%20Salvador_maxtempC,El%20Salvador_mintempC,El%20Salvador_totalSnow_cm,El%20Salvador_sunHour,El%20Salvador_uvIndex,El%20Salvador_moon_illumination,El%20Salvador_moonrise,El%20Salvador_moonset,El%20Salvador_sunrise,El%20Salvador_sunset,El%20Salvador_DewPointC,El%20Salvador_FeelsLikeC,El%20Salvador_HeatIndexC,El%20Salvador_WindChillC,El%20Salvador_WindGustKmph,El%20Salvador_cloudcover,El%20Salvador_humidity,El%20Salvador_precipMM,El%20Salvador_pressure,El%20Salvador_tempC,El%20Salvador_visibility,El%20Salvador_winddirDegree,El%20Salvador_windspeedKmph,El%20Salvador_location
2020-03-12,36,18,0.0,11.6,7,76,09:23 PM,08:35 AM,06:06 AM,06:07 PM,16,28,28,27,9,12,62,0.0,1012,36,10,305,6,El%20Salvador
2020-03-13,37,19,0.0,11.6,7,69,10:22 PM,09:23 AM,06:05 AM,06:07 PM,17,28,28,27,7,21,65,0.0,1013,37,10,237,5,El%20Salvador
2020-03-14,34,21,0.0,6.0,6,62,11:22 PM,10:12 AM,06:05 AM,06:07 PM,19,28,28,27,6,68,70,1.2,1014,34,10,278,4,El%20Salvador
2020-03-15,36,19,0.0,11.6,7,55,No moonrise,11:04 AM,06:04 AM,06:07 PM,17,29,29,28,8,17,61,0.0,1014,36,10,272,6,El%20Salvador
2020-03-16,37,19,0.0,11.6,8,47,12:19 AM,11:57 AM,06:03 AM,06:07 PM,17,29,29,28,9,19,62,0.0,1014,37,10,259,6,El%20Salvador
2020-03-17,35,19,0.0,11.6,7,40,01:16 AM,12:50 PM,06:03 AM,06:07 PM,17,29,29,27,8,18,64,0.0,1014,35,10,222,5,El%20Salvador
2020-03-18,34,19,0.0,11.6,7,33,02:08 AM,01:44 PM,06:02 AM,06:07 PM,17,28,28,27,7,31,63,0.0,1014,34,10,226,5,El%20Salvador
2020-03-19,36,19,0.0,11.6,8,25,02:58 AM,02:36 PM,06:01 AM,06:08 PM,17,29,29,28,7,21,61,0.0,1015,36,10,230,5,El%20Salvador
2020-03-20,34,20,0.0,10.2,6,18,03:44 AM,03:27 PM,06:01 AM,06:08 PM,18,28,28,27,7,30,65,0.2,1015,34,10,278,4,El%20Salvador
2020-03-21,36,19,0.0,12.1,7,11,04:25 AM,04:16 PM,06:00 AM,06:08 PM,18,28,28,26,7,25,67,0.3,1015,36,10,268,5,El%20Salvador
2020-03-22,35,19,0.0,12.5,7,4,05:05 AM,05:04 PM,05:59 AM,06:08 PM,16,28,28,26,9,22,60,0.0,1014,35,10,258,6,El%20Salvador
