date_time,Peru_maxtempC,Peru_mintempC,Peru_totalSnow_cm,Peru_sunHour,Peru_uvIndex,Peru_moon_illumination,Peru_moonrise,Peru_moonset,Peru_sunrise,Peru_sunset,Peru_DewPointC,Peru_FeelsLikeC,Peru_HeatIndexC,Peru_WindChillC,Peru_WindGustKmph,Peru_cloudcover,Peru_humidity,Peru_precipMM,Peru_pressure,Peru_tempC,Peru_visibility,Peru_winddirDegree,Peru_windspeedKmph,Peru_location
2020-04-01,25,21,0.0,10.2,5,56,12:59 PM,No moonset,06:12 AM,06:11 PM,18,24,24,23,12,55,75,1.6,1015,25,7,193,9,Peru
2020-04-02,25,21,0.0,11.6,6,64,01:55 PM,12:42 AM,06:13 AM,06:10 PM,18,25,25,23,12,35,73,0.1,1016,25,10,210,10,Peru
2020-04-03,24,20,0.0,11.6,6,71,02:49 PM,01:41 AM,06:13 AM,06:10 PM,18,23,23,22,15,30,80,0.0,1015,24,10,190,12,Peru
2020-04-04,23,19,0.0,11.6,6,79,03:41 PM,02:41 AM,06:13 AM,06:09 PM,17,21,22,21,15,47,80,0.0,1013,23,10,194,11,Peru
2020-04-05,24,20,0.0,11.6,6,87,04:31 PM,03:42 AM,06:13 AM,06:08 PM,17,23,23,22,15,33,77,0.0,1015,24,10,182,13,Peru
2020-04-06,24,18,0.0,11.6,6,94,05:21 PM,04:42 AM,06:13 AM,06:08 PM,18,23,23,22,15,29,78,0.0,1015,24,10,187,12,Peru
2020-04-07,24,20,0.0,10.2,5,100,06:09 PM,05:42 AM,06:13 AM,06:07 PM,18,23,23,22,16,55,80,0.0,1015,24,10,185,12,Peru
2020-04-08,24,21,0.0,11.6,6,100,06:57 PM,06:41 AM,06:13 AM,06:07 PM,18,24,24,22,15,34,79,0.0,1015,24,10,186,12,Peru
2020-04-09,24,20,0.0,11.6,6,83,07:48 PM,07:41 AM,06:13 AM,06:06 PM,18,24,24,22,14,24,79,0.0,1015,24,10,190,11,Peru
2020-04-10,23,20,0.0,8.8,5,76,08:39 PM,08:41 AM,06:13 AM,06:05 PM,18,21,23,21,13,49,82,0.0,1015,23,10,194,9,Peru
2020-04-11,24,20,0.0,8.8,5,68,09:34 PM,09:43 AM,06:13 AM,06:05 PM,18,23,23,22,16,57,82,0.0,1016,24,10,185,12,Peru
2020-04-12,25,20,0.0,11.6,6,61,10:28 PM,10:42 AM,06:13 AM,06:04 PM,18,23,23,22,18,27,79,0.0,1016,25,10,178,13,Peru
2020-04-13,23,20,0.0,10.2,5,53,11:24 PM,11:40 AM,06:13 AM,06:04 PM,18,21,22,21,13,56,82,0.0,1017,23,10,203,10,Peru
2020-04-14,23,17,0.0,8.8,5,46,No moonrise,12:34 PM,06:13 AM,06:03 PM,17,21,22,21,15,61,79,0.0,1016,23,10,182,12,Peru
2020-04-15,24,19,0.0,11.6,5,38,12:18 AM,01:25 PM,06:13 AM,06:03 PM,17,22,22,21,17,43,74,0.0,1016,24,10,177,13,Peru
2020-04-16,24,20,0.0,11.6,6,30,01:12 AM,02:10 PM,06:13 AM,06:02 PM,17,23,23,22,18,24,75,0.0,1017,24,10,175,13,Peru
2020-04-17,22,19,0.0,11.6,6,23,02:02 AM,02:53 PM,06:13 AM,06:02 PM,18,21,21,21,12,24,82,0.0,1016,22,10,200,9,Peru
2020-04-18,22,19,0.0,11.6,5,15,02:50 AM,03:32 PM,06:13 AM,06:01 PM,17,20,21,20,13,46,81,0.0,1017,22,10,202,10,Peru
2020-04-19,23,18,0.0,11.6,5,8,03:37 AM,04:09 PM,06:13 AM,06:01 PM,17,20,21,20,15,52,79,0.0,1017,23,10,191,11,Peru
2020-04-20,22,18,0.0,11.6,5,0,04:21 AM,04:46 PM,06:14 AM,06:00 PM,16,20,21,20,17,44,80,0.0,1017,22,10,184,13,Peru
2020-04-21,21,18,0.0,11.6,6,0,05:07 AM,05:22 PM,06:14 AM,06:00 PM,16,20,20,20,17,41,81,0.0,1017,21,10,187,12,Peru
2020-04-22,21,18,0.0,7.2,5,0,05:52 AM,05:59 PM,06:14 AM,05:59 PM,16,19,20,19,15,34,78,0.0,1017,21,10,188,11,Peru
2020-04-23,22,18,0.0,8.7,6,0,06:37 AM,06:37 PM,06:14 AM,05:59 PM,16,20,20,20,15,24,77,0.0,1016,22,10,185,11,Peru
2020-04-24,22,18,0.0,8.7,6,7,07:25 AM,07:19 PM,06:14 AM,05:58 PM,16,19,20,19,16,32,78,0.0,1016,22,10,184,12,Peru
2020-04-25,22,18,0.0,8.7,6,15,08:15 AM,08:02 PM,06:14 AM,05:58 PM,16,20,20,20,16,23,79,0.0,1016,22,10,178,12,Peru
2020-04-26,22,18,0.0,8.7,5,22,09:07 AM,08:50 PM,06:14 AM,05:57 PM,16,20,21,20,17,38,80,0.0,1016,22,10,180,13,Peru
2020-04-27,21,15,0.0,7.2,5,30,10:00 AM,09:41 PM,06:14 AM,05:57 PM,16,19,20,19,15,61,80,0.0,1016,21,10,194,12,Peru
2020-04-28,22,19,0.0,7.2,5,37,10:54 AM,10:35 PM,06:14 AM,05:57 PM,16,20,20,20,13,59,79,0.0,1015,22,10,241,10,Peru
2020-04-29,23,18,0.0,8.7,6,45,11:49 AM,11:32 PM,06:15 AM,05:56 PM,16,20,21,20,11,30,77,0.0,1016,23,10,249,8,Peru
2020-04-30,22,19,0.0,8.7,6,52,12:41 PM,No moonset,06:15 AM,05:56 PM,17,20,21,20,13,30,79,0.0,1016,22,10,190,10,Peru
