date_time,Slovenia_maxtempC,Slovenia_mintempC,Slovenia_totalSnow_cm,Slovenia_sunHour,Slovenia_uvIndex,Slovenia_moon_illumination,Slovenia_moonrise,Slovenia_moonset,Slovenia_sunrise,Slovenia_sunset,Slovenia_DewPointC,Slovenia_FeelsLikeC,Slovenia_HeatIndexC,Slovenia_WindChillC,Slovenia_WindGustKmph,Slovenia_cloudcover,Slovenia_humidity,Slovenia_precipMM,Slovenia_pressure,Slovenia_tempC,Slovenia_visibility,Slovenia_winddirDegree,Slovenia_windspeedKmph,Slovenia_location
2020-04-11,20,8,0.0,13.2,5,68,11:12 PM,07:35 AM,05:23 AM,06:44 PM,7,14,16,14,4,19,65,0.1,1023,20,10,148,3,Slovenia
2020-04-12,21,8,0.0,13.2,4,61,No moonrise,08:16 AM,05:21 AM,06:45 PM,5,14,15,14,10,16,62,0.0,1019,21,9,225,6,Slovenia
2020-04-13,18,8,0.0,13.3,3,53,12:20 AM,09:05 AM,05:19 AM,06:47 PM,2,12,13,12,17,46,53,0.0,1014,18,10,248,11,Slovenia
2020-04-14,8,-1,7.1,9.6,1,46,01:20 AM,10:00 AM,05:17 AM,06:48 PM,2,3,4,3,9,72,90,18.7,1018,8,6,121,6,Slovenia
2020-04-15,13,-1,0.0,13.3,3,38,02:09 AM,11:00 AM,05:15 AM,06:49 PM,1,6,7,6,4,5,73,0.0,1025,13,10,153,3,Slovenia
2020-04-16,19,3,0.0,12.0,3,30,02:48 AM,12:03 PM,05:14 AM,06:51 PM,3,11,11,11,9,35,65,0.0,1022,19,10,264,5,Slovenia
2020-04-17,21,6,0.0,13.4,5,23,03:21 AM,01:07 PM,05:12 AM,06:52 PM,4,14,15,14,10,4,57,0.0,1018,21,10,254,6,Slovenia
2020-04-18,23,7,0.0,13.4,5,15,03:48 AM,02:10 PM,05:10 AM,06:53 PM,5,15,16,15,8,22,58,0.0,1017,23,10,255,5,Slovenia
2020-04-19,24,9,0.0,13.3,4,8,04:11 AM,03:13 PM,05:08 AM,06:55 PM,8,15,15,15,10,44,72,4.8,1015,24,10,210,6,Slovenia
2020-04-20,12,7,0.0,9.7,3,0,04:32 AM,04:15 PM,05:06 AM,06:56 PM,5,8,10,8,18,77,73,2.4,1016,12,10,84,12,Slovenia
2020-04-21,13,5,0.0,12.1,3,0,04:52 AM,05:17 PM,05:05 AM,06:57 PM,2,6,9,6,29,55,61,0.0,1016,13,10,72,19,Slovenia
2020-04-22,14,5,0.0,13.6,3,0,05:12 AM,06:19 PM,05:03 AM,06:59 PM,2,9,11,9,24,50,63,0.1,1018,14,10,67,16,Slovenia
2020-04-23,15,5,0.0,14.0,4,0,05:33 AM,07:22 PM,05:01 AM,07:00 PM,3,10,11,10,11,12,68,0.0,1019,15,10,102,8,Slovenia
2020-04-24,21,5,0.0,14.0,4,7,05:56 AM,08:26 PM,05:00 AM,07:01 PM,4,12,13,12,8,6,65,0.0,1014,21,9,246,5,Slovenia
