date_time,Aruba_maxtempC,Aruba_mintempC,Aruba_totalSnow_cm,Aruba_sunHour,Aruba_uvIndex,Aruba_moon_illumination,Aruba_moonrise,Aruba_moonset,Aruba_sunrise,Aruba_sunset,Aruba_DewPointC,Aruba_FeelsLikeC,Aruba_HeatIndexC,Aruba_WindChillC,Aruba_WindGustKmph,Aruba_cloudcover,Aruba_humidity,Aruba_precipMM,Aruba_pressure,Aruba_tempC,Aruba_visibility,Aruba_winddirDegree,Aruba_windspeedKmph,Aruba_location
2020-04-05,27,26,0.0,8.8,6,87,04:43 PM,04:37 AM,06:33 AM,06:52 PM,24,31,31,27,50,68,85,0.6,1010,27,10,81,35,Aruba
2020-04-06,27,26,0.0,10.2,6,94,05:44 PM,05:26 AM,06:33 AM,06:52 PM,24,30,30,27,52,56,84,0.3,1011,27,10,84,36,Aruba
2020-04-07,27,22,0.0,8.9,6,100,06:43 PM,06:14 AM,06:32 AM,06:52 PM,24,29,29,26,52,68,84,1.1,1012,27,10,83,36,Aruba
2020-04-08,27,27,0.0,7.5,6,100,07:43 PM,07:03 AM,06:32 AM,06:52 PM,24,31,31,27,48,57,83,0.6,1011,27,10,86,34,Aruba
2020-04-09,27,23,0.0,10.2,6,83,08:44 PM,07:52 AM,06:31 AM,06:52 PM,24,30,30,26,50,57,83,0.4,1010,27,10,89,35,Aruba
2020-04-10,27,24,0.0,8.9,6,76,09:45 PM,08:42 AM,06:30 AM,06:52 PM,24,30,30,27,52,58,85,0.3,1010,27,10,90,37,Aruba
2020-04-11,27,27,0.0,10.2,6,68,10:45 PM,09:35 AM,06:30 AM,06:52 PM,24,31,31,27,55,49,84,0.2,1011,27,10,91,40,Aruba
2020-04-12,27,26,0.0,10.2,6,61,11:45 PM,10:29 AM,06:29 AM,06:52 PM,23,30,30,27,59,51,80,0.2,1013,27,10,89,42,Aruba
2020-04-13,27,24,0.0,8.9,6,53,No moonrise,11:25 AM,06:29 AM,06:52 PM,23,30,30,26,53,64,78,0.5,1014,27,10,90,38,Aruba
2020-04-14,27,24,0.0,8.9,6,46,12:40 AM,12:20 PM,06:28 AM,06:52 PM,23,29,29,26,45,66,79,0.6,1013,27,10,87,33,Aruba
2020-04-15,27,24,0.0,7.5,6,38,01:33 AM,01:14 PM,06:27 AM,06:53 PM,23,29,29,27,41,55,79,0.8,1013,27,10,87,30,Aruba
2020-04-16,27,24,0.0,8.9,6,30,02:21 AM,02:06 PM,06:27 AM,06:53 PM,23,29,29,26,43,49,80,0.5,1014,27,10,87,32,Aruba
2020-04-17,27,24,0.0,10.2,6,23,03:05 AM,02:55 PM,06:26 AM,06:53 PM,23,29,29,26,47,40,79,0.1,1014,27,10,85,34,Aruba
2020-04-18,27,24,0.0,11.6,6,15,03:46 AM,03:43 PM,06:26 AM,06:53 PM,23,30,30,27,54,46,79,0.2,1013,27,10,92,39,Aruba
2020-04-19,27,25,0.0,8.9,6,8,04:24 AM,04:29 PM,06:25 AM,06:53 PM,23,30,30,27,54,64,79,0.6,1013,27,10,89,38,Aruba
2020-04-20,27,21,0.0,11.6,6,0,05:00 AM,05:14 PM,06:25 AM,06:53 PM,23,29,29,26,52,45,80,0.2,1013,27,10,93,37,Aruba
2020-04-21,27,22,0.0,8.9,6,0,05:37 AM,05:59 PM,06:24 AM,06:53 PM,23,29,29,26,48,57,81,0.6,1012,27,10,88,34,Aruba
2020-04-22,27,21,0.0,8.9,6,0,06:13 AM,06:44 PM,06:24 AM,06:53 PM,24,29,29,25,48,56,84,0.4,1012,27,10,89,34,Aruba
2020-04-23,27,22,0.0,8.9,6,0,06:50 AM,07:32 PM,06:23 AM,06:53 PM,24,30,30,26,53,59,83,0.4,1012,27,10,91,38,Aruba
2020-04-24,27,25,0.0,7.5,6,7,07:30 AM,08:20 PM,06:23 AM,06:54 PM,23,30,30,26,49,64,82,1.1,1012,27,10,86,34,Aruba
2020-04-25,27,27,0.0,10.2,6,15,08:11 AM,09:11 PM,06:22 AM,06:54 PM,23,30,30,27,55,51,81,0.6,1012,27,10,94,38,Aruba
2020-04-26,27,27,0.0,8.9,6,22,08:57 AM,10:03 PM,06:22 AM,06:54 PM,23,30,30,27,57,55,80,0.5,1013,27,10,92,40,Aruba
2020-04-27,27,21,0.0,10.2,6,30,09:46 AM,10:58 PM,06:21 AM,06:54 PM,23,29,29,26,55,31,78,0.7,1013,27,10,89,39,Aruba
2020-04-28,27,25,0.0,8.9,6,37,10:39 AM,11:52 PM,06:21 AM,06:54 PM,23,29,29,26,53,40,78,0.2,1012,27,10,88,38,Aruba
2020-04-29,27,26,0.0,10.2,6,45,11:35 AM,No moonset,06:20 AM,06:54 PM,22,29,29,27,51,41,78,0.2,1012,27,10,88,37,Aruba
2020-04-30,27,26,0.0,11.6,6,52,12:32 PM,12:46 AM,06:20 AM,06:55 PM,23,30,30,27,52,40,81,0.2,1012,27,10,91,37,Aruba
2020-05-01,27,23,0.0,10.2,6,58,01:31 PM,01:38 AM,06:20 AM,06:55 PM,23,29,29,26,56,37,82,0.2,1012,27,10,91,39,Aruba
2020-05-02,28,27,0.0,6.2,6,65,02:29 PM,02:28 AM,06:19 AM,06:55 PM,24,31,31,27,54,68,84,0.3,1012,28,10,87,37,Aruba
2020-05-03,27,25,0.0,8.9,6,72,03:27 PM,03:16 AM,06:19 AM,06:55 PM,24,31,31,27,56,69,85,0.9,1011,27,10,88,38,Aruba
2020-05-04,27,21,0.0,8.9,6,80,04:25 PM,04:03 AM,06:18 AM,06:55 PM,24,30,30,26,57,57,85,0.4,1010,27,10,90,39,Aruba
2020-05-05,27,27,0.0,11.6,6,87,05:24 PM,04:50 AM,06:18 AM,06:55 PM,24,31,31,27,57,53,85,0.8,1010,27,10,91,39,Aruba
2020-05-06,27,27,0.0,10.2,6,94,06:23 PM,05:38 AM,06:18 AM,06:56 PM,24,31,31,27,59,52,85,0.4,1011,27,10,93,41,Aruba
2020-05-07,27,24,0.0,10.2,6,100,07:25 PM,06:27 AM,06:17 AM,06:56 PM,24,30,30,27,62,56,85,0.3,1010,27,10,94,43,Aruba
2020-05-08,27,27,0.0,10.2,6,100,08:26 PM,07:19 AM,06:17 AM,06:56 PM,24,31,31,27,63,53,84,0.2,1011,27,10,95,44,Aruba
2020-05-09,27,22,0.0,8.9,6,84,09:29 PM,08:14 AM,06:17 AM,06:56 PM,24,29,29,25,68,47,84,0.1,1012,27,10,94,47,Aruba
2020-05-10,27,27,0.0,8.9,6,77,10:28 PM,09:11 AM,06:16 AM,06:57 PM,23,30,30,27,62,51,81,0.6,1012,27,10,92,44,Aruba
2020-05-11,27,27,0.0,10.3,6,70,11:24 PM,10:08 AM,06:16 AM,06:57 PM,24,30,30,27,59,45,82,0.3,1011,27,10,93,41,Aruba
2020-05-12,27,27,0.0,11.6,6,62,No moonrise,11:05 AM,06:16 AM,06:57 PM,24,30,30,27,53,55,84,0.2,1011,27,10,90,36,Aruba
2020-05-13,27,27,0.0,10.3,6,55,12:15 AM,11:59 AM,06:16 AM,06:57 PM,24,30,30,27,56,47,84,0.4,1011,27,10,91,37,Aruba
2020-05-14,27,22,0.0,8.9,6,48,01:02 AM,12:50 PM,06:15 AM,06:58 PM,24,30,30,26,56,63,82,0.4,1012,27,10,91,39,Aruba
2020-05-15,27,21,0.0,10.3,6,40,01:44 AM,01:39 PM,06:15 AM,06:58 PM,23,29,29,26,59,57,83,0.5,1012,27,10,92,40,Aruba
2020-05-16,27,21,0.0,10.3,6,33,02:23 AM,02:25 PM,06:15 AM,06:58 PM,24,28,28,25,63,42,85,0.3,1011,27,10,95,42,Aruba
2020-05-17,27,21,0.0,10.3,6,26,03:01 AM,03:11 PM,06:15 AM,06:58 PM,24,29,29,26,63,42,84,0.2,1011,27,10,94,43,Aruba
2020-05-18,27,25,0.0,10.3,6,19,03:37 AM,03:56 PM,06:15 AM,06:59 PM,24,30,30,26,64,37,84,0.1,1011,27,10,93,43,Aruba
2020-05-19,27,24,0.0,8.9,6,11,04:12 AM,04:41 PM,06:14 AM,06:59 PM,23,30,30,26,60,53,82,0.4,1011,27,10,94,41,Aruba
