date_time,Myanmar_maxtempC,Myanmar_mintempC,Myanmar_totalSnow_cm,Myanmar_sunHour,Myanmar_uvIndex,Myanmar_moon_illumination,Myanmar_moonrise,Myanmar_moonset,Myanmar_sunrise,Myanmar_sunset,Myanmar_DewPointC,Myanmar_FeelsLikeC,Myanmar_HeatIndexC,Myanmar_WindChillC,Myanmar_WindGustKmph,Myanmar_cloudcover,Myanmar_humidity,Myanmar_precipMM,Myanmar_pressure,Myanmar_tempC,Myanmar_visibility,Myanmar_winddirDegree,Myanmar_windspeedKmph,Myanmar_location
2020-04-03,40,22,0.0,12.6,8,71,01:33 PM,02:00 AM,05:59 AM,06:19 PM,17,33,33,31,18,2,53,0.0,1010,40,10,218,12,Myanmar
2020-04-04,40,23,0.0,12.6,8,79,02:34 PM,02:53 AM,05:58 AM,06:19 PM,18,34,34,32,17,8,56,0.0,1010,40,10,231,11,Myanmar
2020-04-05,41,23,0.0,12.6,9,87,03:37 PM,03:44 AM,05:57 AM,06:19 PM,19,35,35,33,17,4,57,0.0,1009,41,10,232,11,Myanmar
2020-04-06,40,24,0.0,12.6,8,94,04:38 PM,04:32 AM,05:56 AM,06:19 PM,19,32,32,30,19,10,59,0.0,1009,40,10,243,13,Myanmar
2020-04-07,41,24,0.0,12.6,8,100,05:41 PM,05:19 AM,05:56 AM,06:19 PM,18,32,32,30,21,5,56,0.0,1008,41,10,253,14,Myanmar
2020-04-08,39,23,0.0,12.6,8,100,06:42 PM,06:05 AM,05:55 AM,06:19 PM,19,32,32,30,18,11,60,0.0,1009,39,10,226,13,Myanmar
2020-04-09,39,24,0.0,12.7,7,83,07:45 PM,06:51 AM,05:54 AM,06:20 PM,19,33,33,30,18,21,61,0.0,1010,39,10,212,13,Myanmar
2020-04-10,40,23,0.0,12.7,8,76,08:47 PM,07:39 AM,05:54 AM,06:20 PM,18,33,33,32,16,4,55,0.0,1010,40,10,220,11,Myanmar
2020-04-11,40,24,0.0,12.7,8,68,09:50 PM,08:29 AM,05:53 AM,06:20 PM,18,34,34,32,15,6,55,0.0,1010,40,10,217,11,Myanmar
2020-04-12,40,24,0.0,12.7,8,61,10:51 PM,09:22 AM,05:52 AM,06:20 PM,18,34,34,32,18,17,54,0.0,1009,40,10,223,13,Myanmar
