date_time,Greenland_maxtempC,Greenland_mintempC,Greenland_totalSnow_cm,Greenland_sunHour,Greenland_uvIndex,Greenland_moon_illumination,Greenland_moonrise,Greenland_moonset,Greenland_sunrise,Greenland_sunset,Greenland_DewPointC,Greenland_FeelsLikeC,Greenland_HeatIndexC,Greenland_WindChillC,Greenland_WindGustKmph,Greenland_cloudcover,Greenland_humidity,Greenland_precipMM,Greenland_pressure,Greenland_tempC,Greenland_visibility,Greenland_winddirDegree,Greenland_windspeedKmph,Greenland_location
2020-04-17,-2,-3,2.6,9.8,1,23,05:17 AM,12:23 PM,04:46 AM,08:09 PM,-5,-6,-2,-6,16,95,80,4.3,984,-2,5,169,13,Greenland
2020-04-18,-3,-8,5.4,9.8,1,15,05:19 AM,01:52 PM,04:42 AM,08:12 PM,-6,-9,-3,-9,33,98,80,8.9,993,-3,1,182,26,Greenland
2020-04-19,-1,-7,0.0,10.8,1,8,05:20 AM,03:18 PM,04:39 AM,08:15 PM,-7,-10,-3,-10,70,83,69,3.9,1006,-1,3,166,55,Greenland
2020-04-20,-1,-4,0.0,13.6,1,0,05:20 AM,04:41 PM,04:35 AM,08:18 PM,-7,-6,-1,-6,28,37,63,0.0,1016,-1,10,124,18,Greenland
2020-04-21,1,-6,0.0,11.8,1,0,05:20 AM,06:05 PM,04:32 AM,08:21 PM,-7,-5,-2,-5,17,50,63,0.0,1014,1,10,48,10,Greenland
2020-04-22,5,-5,0.0,13.6,1,0,05:19 AM,07:30 PM,04:28 AM,08:24 PM,-2,-1,2,-1,24,42,68,0.0,1002,5,10,115,12,Greenland
2020-04-23,4,-0,0.0,14.5,2,0,05:20 AM,08:57 PM,04:25 AM,08:27 PM,-0,1,3,1,12,45,78,0.0,1010,4,10,176,6,Greenland
2020-04-24,6,2,0.0,11.8,1,7,05:21 AM,10:27 PM,04:21 AM,08:31 PM,-1,0,3,0,27,57,74,0.0,1014,6,10,88,14,Greenland
2020-04-25,2,-6,0.0,11.0,1,15,05:23 AM,11:59 PM,04:18 AM,08:34 PM,-1,-3,1,-3,39,70,82,0.0,1009,2,10,140,23,Greenland
2020-04-26,2,-5,0.3,11.9,1,22,05:29 AM,No moonset,04:14 AM,08:37 PM,-2,-2,-0,-2,15,69,83,0.5,1006,2,8,140,9,Greenland
2020-04-27,2,-7,3.7,10.2,1,30,05:43 AM,01:31 AM,04:11 AM,08:40 PM,-1,-3,0,-3,19,97,86,4.9,1004,2,7,225,13,Greenland
2020-04-28,1,-5,0.2,14.5,1,37,06:14 AM,02:49 AM,04:07 AM,08:43 PM,-2,-3,-0,-3,10,48,87,0.3,1019,1,9,244,7,Greenland
2020-04-29,2,-1,1.5,14.5,1,45,07:17 AM,03:41 AM,04:04 AM,08:47 PM,-3,-4,0,-4,31,28,77,1.8,1019,2,8,185,20,Greenland
2020-04-30,1,-4,0.0,14.5,2,52,08:49 AM,04:04 AM,04:01 AM,08:50 PM,-6,-5,-1,-5,23,4,64,0.0,1017,1,10,159,14,Greenland
2020-05-01,1,0,0.0,11.4,1,58,10:33 AM,04:14 AM,03:57 AM,08:53 PM,-2,-5,0,-5,41,74,83,0.0,1018,1,10,181,25,Greenland
2020-05-02,1,-4,18.1,10.6,1,65,12:20 PM,04:19 AM,03:54 AM,08:56 PM,-1,-3,0,-3,26,100,86,21.6,1005,1,6,119,15,Greenland
2020-05-03,2,-2,3.5,13.1,1,72,02:08 PM,04:21 AM,03:50 AM,09:00 PM,1,-7,1,-7,79,100,97,29.3,992,2,0,169,48,Greenland
2020-05-04,-2,-7,7.3,14.6,1,80,03:56 PM,04:22 AM,03:47 AM,09:03 PM,-4,-7,-2,-7,24,84,86,9.1,1009,-2,5,215,16,Greenland
2020-05-05,-1,-5,0.0,17.4,2,87,05:45 PM,04:23 AM,03:44 AM,09:06 PM,-6,-7,-2,-7,22,7,72,0.0,1013,-1,10,213,15,Greenland
2020-05-06,0,-8,0.0,15.3,1,94,07:37 PM,04:24 AM,03:40 AM,09:10 PM,-3,-5,-1,-5,22,54,82,0.0,1018,0,10,262,15,Greenland
2020-05-07,5,-0,0.0,16.7,1,100,09:31 PM,04:25 AM,03:37 AM,09:13 PM,-1,0,3,0,24,55,74,0.0,1021,5,10,96,12,Greenland
2020-05-08,4,1,0.0,15.4,1,100,11:25 PM,04:28 AM,03:34 AM,09:16 PM,-0,2,3,2,13,47,77,0.0,1021,4,10,195,6,Greenland
2020-05-09,6,3,0.0,15.4,1,84,No moonrise,04:35 AM,03:30 AM,09:20 PM,-0,1,4,1,30,66,72,0.0,1021,6,10,230,15,Greenland
2020-05-10,5,-4,0.0,14.1,1,77,01:11 AM,04:52 AM,03:27 AM,09:23 PM,-0,2,4,2,17,62,72,0.8,1020,5,8,100,8,Greenland
2020-05-11,7,2,0.0,16.8,3,70,02:30 AM,05:35 AM,03:24 AM,09:26 PM,1,2,5,2,29,37,72,0.0,1014,7,10,149,14,Greenland
2020-05-12,4,-3,0.0,13.6,1,62,03:09 AM,06:51 AM,03:20 AM,09:30 PM,2,1,3,1,27,88,88,0.8,1016,4,9,153,14,Greenland
2020-05-13,4,1,0.0,13.6,1,55,03:25 AM,08:25 AM,03:17 AM,09:33 PM,2,1,3,1,18,91,91,1.4,1017,4,5,160,9,Greenland
2020-05-14,6,0,0.0,17.4,3,48,03:31 AM,10:00 AM,03:14 AM,09:36 PM,1,2,5,2,30,7,76,0.0,1009,6,10,216,14,Greenland
2020-05-15,7,-0,0.0,17.4,3,40,03:33 AM,11:32 AM,03:10 AM,09:39 PM,-0,4,5,4,18,27,65,0.0,1014,7,10,249,9,Greenland
2020-05-16,5,-4,0.0,17.4,2,33,03:34 AM,12:59 PM,03:07 AM,09:43 PM,0,-1,3,-1,47,26,77,0.0,1012,5,10,284,25,Greenland
2020-05-17,3,-3,0.1,16.2,1,26,03:34 AM,02:24 PM,03:04 AM,09:46 PM,0,-2,2,-2,48,61,82,0.3,1017,3,10,167,29,Greenland
2020-05-18,4,2,0.0,17.4,2,19,03:33 AM,03:48 PM,03:01 AM,09:49 PM,-0,-0,3,-0,24,13,79,0.0,1018,4,10,234,15,Greenland
2020-05-19,2,1,0.2,16.6,1,11,03:33 AM,05:12 PM,02:57 AM,09:52 PM,-1,-2,1,-2,17,87,85,0.3,1016,2,10,315,12,Greenland
