date_time,Oman_maxtempC,Oman_mintempC,Oman_totalSnow_cm,Oman_sunHour,Oman_uvIndex,Oman_moon_illumination,Oman_moonrise,Oman_moonset,Oman_sunrise,Oman_sunset,Oman_DewPointC,Oman_FeelsLikeC,Oman_HeatIndexC,Oman_WindChillC,Oman_WindGustKmph,Oman_cloudcover,Oman_humidity,Oman_precipMM,Oman_pressure,Oman_tempC,Oman_visibility,Oman_winddirDegree,Oman_windspeedKmph,Oman_location
2020-04-24,32,28,0.0,12.9,8,7,06:29 AM,07:42 PM,05:37 AM,06:31 PM,17,31,31,30,13,1,47,0.0,1009,32,10,189,8,Oman
2020-04-25,33,27,0.0,13.0,8,15,07:06 AM,08:35 PM,05:36 AM,06:31 PM,16,31,31,30,18,0,42,0.0,1008,33,10,275,10,Oman
2020-04-26,34,29,0.0,13.0,8,22,07:47 AM,09:31 PM,05:36 AM,06:32 PM,16,31,31,31,22,0,40,0.0,1008,34,10,145,12,Oman
2020-04-27,34,28,0.0,13.0,8,30,08:32 AM,10:26 PM,05:35 AM,06:32 PM,18,32,32,31,17,0,46,0.0,1008,34,10,171,10,Oman
2020-04-28,34,30,0.0,13.0,8,37,09:23 AM,11:21 PM,05:34 AM,06:32 PM,20,35,35,32,18,3,50,0.0,1009,34,10,144,10,Oman
2020-04-29,34,29,0.0,13.0,7,45,10:17 AM,No moonset,05:33 AM,06:33 PM,19,34,34,32,20,15,44,0.1,1009,34,10,127,11,Oman
2020-04-30,34,29,0.0,13.0,8,52,11:16 AM,12:14 AM,05:33 AM,06:33 PM,20,34,34,32,30,5,48,0.0,1009,34,10,134,17,Oman
2020-05-01,33,27,0.0,13.0,8,58,12:17 PM,01:04 AM,05:32 AM,06:34 PM,21,35,35,31,21,21,52,0.2,1009,33,10,206,12,Oman
2020-05-02,35,27,0.0,13.0,7,65,01:20 PM,01:52 AM,05:31 AM,06:34 PM,21,35,35,31,22,28,51,0.6,1007,35,10,147,12,Oman
2020-05-03,34,27,0.0,13.0,7,72,02:23 PM,02:35 AM,05:31 AM,06:35 PM,21,35,35,31,24,28,53,0.2,1008,34,10,177,14,Oman
2020-05-04,34,28,0.0,13.1,8,80,03:27 PM,03:18 AM,05:30 AM,06:35 PM,21,36,36,32,15,7,52,0.0,1009,34,10,216,8,Oman
2020-05-05,34,31,0.0,13.1,8,87,04:30 PM,03:59 AM,05:29 AM,06:36 PM,20,36,36,33,17,8,48,0.0,1010,34,10,183,10,Oman
2020-05-06,34,30,0.0,13.1,8,94,05:36 PM,04:41 AM,05:29 AM,06:36 PM,20,36,36,32,20,4,49,0.0,1008,34,10,175,11,Oman
2020-05-07,35,31,0.0,13.1,8,100,06:41 PM,05:24 AM,05:28 AM,06:37 PM,19,36,36,33,14,1,43,0.0,1007,35,10,198,8,Oman
2020-05-08,37,32,0.0,13.1,8,100,07:48 PM,06:10 AM,05:27 AM,06:37 PM,17,35,35,34,18,1,35,0.0,1006,37,10,231,9,Oman
2020-05-09,33,29,0.0,13.1,8,84,08:53 PM,07:00 AM,05:27 AM,06:38 PM,18,33,33,31,13,1,45,0.0,1006,33,10,237,8,Oman
2020-05-10,33,28,0.0,13.1,8,77,09:56 PM,07:54 AM,05:26 AM,06:38 PM,18,32,32,31,12,0,46,0.0,1007,33,10,147,8,Oman
2020-05-11,35,29,0.0,13.1,8,70,10:53 PM,08:50 AM,05:26 AM,06:39 PM,18,34,34,33,11,0,42,0.0,1006,35,10,115,6,Oman
2020-05-12,36,32,0.0,13.1,8,62,11:44 PM,09:48 AM,05:25 AM,06:39 PM,20,37,37,34,16,0,43,0.0,1005,36,10,229,9,Oman
2020-05-13,32,30,0.0,13.2,8,55,No moonrise,10:45 AM,05:25 AM,06:40 PM,18,33,33,31,14,1,46,0.0,1004,32,10,212,10,Oman
2020-05-14,31,27,0.0,13.2,8,48,12:29 AM,11:41 AM,05:24 AM,06:40 PM,19,31,31,29,19,0,54,0.0,1005,31,10,245,14,Oman
2020-05-15,32,28,0.0,13.2,8,40,01:10 AM,12:34 PM,05:24 AM,06:40 PM,21,33,33,30,22,3,57,0.0,1007,32,10,137,17,Oman
2020-05-16,34,29,0.0,13.2,8,33,01:46 AM,01:25 PM,05:23 AM,06:41 PM,19,33,33,31,24,4,50,0.0,1008,34,10,119,17,Oman
2020-05-17,34,29,0.0,13.2,8,26,02:20 AM,02:15 PM,05:23 AM,06:41 PM,19,34,34,32,18,1,47,0.0,1007,34,10,122,11,Oman
2020-05-18,35,29,0.0,13.2,8,19,02:52 AM,03:05 PM,05:23 AM,06:42 PM,19,35,35,33,20,1,43,0.0,1006,35,10,224,11,Oman
2020-05-19,37,30,0.0,13.2,8,11,03:24 AM,03:54 PM,05:22 AM,06:42 PM,18,35,35,33,20,1,41,0.0,1006,37,10,168,11,Oman
