date_time,Italy_maxtempC,Italy_mintempC,Italy_totalSnow_cm,Italy_sunHour,Italy_uvIndex,Italy_moon_illumination,Italy_moonrise,Italy_moonset,Italy_sunrise,Italy_sunset,Italy_DewPointC,Italy_FeelsLikeC,Italy_HeatIndexC,Italy_WindChillC,Italy_WindGustKmph,Italy_cloudcover,Italy_humidity,Italy_precipMM,Italy_pressure,Italy_tempC,Italy_visibility,Italy_winddirDegree,Italy_windspeedKmph,Italy_location
2020-03-30,16,10,0.0,12.8,3,40,09:15 AM,No moonset,05:56 AM,06:34 PM,8,13,13,13,8,34,72,0.3,1010,16,10,162,7,Italy
2020-03-31,16,9,0.0,10.6,3,44,09:58 AM,12:33 AM,05:54 AM,06:35 PM,7,12,12,12,13,52,69,2.3,1015,16,10,211,9,Italy
2020-04-01,14,6,0.0,12.8,4,56,10:49 AM,01:32 AM,05:53 AM,06:36 PM,-4,8,10,8,15,1,41,0.0,1018,14,10,111,12,Italy
2020-04-02,12,6,0.0,12.9,2,64,11:49 AM,02:26 AM,05:51 AM,06:37 PM,0,8,9,8,9,27,55,0.0,1015,12,10,137,7,Italy
2020-04-03,16,8,0.0,12.9,4,71,12:56 PM,03:16 AM,05:49 AM,06:38 PM,3,11,11,11,10,47,60,0.0,1012,16,10,196,8,Italy
2020-04-04,18,9,0.0,12.9,4,79,02:09 PM,03:58 AM,05:48 AM,06:39 PM,4,13,13,13,10,7,54,0.0,1017,18,10,151,8,Italy
2020-04-05,18,9,0.0,12.9,4,87,03:26 PM,04:36 AM,05:46 AM,06:40 PM,2,13,13,13,17,15,48,0.0,1020,18,10,49,12,Italy
2020-04-06,19,10,0.0,13.0,5,94,04:43 PM,05:10 AM,05:44 AM,06:41 PM,4,14,15,14,13,22,52,0.0,1024,19,10,142,9,Italy
2020-04-07,19,12,0.0,13.0,5,100,06:01 PM,05:41 AM,05:43 AM,06:42 PM,7,15,15,15,9,25,58,0.0,1026,19,10,201,7,Italy
2020-04-08,19,12,0.0,13.0,4,100,07:19 PM,06:11 AM,05:41 AM,06:44 PM,7,16,15,16,10,32,57,0.2,1026,19,10,171,7,Italy
2020-04-09,20,12,0.0,13.1,5,83,08:36 PM,06:43 AM,05:39 AM,06:45 PM,6,15,15,15,9,17,55,0.0,1023,20,10,257,7,Italy
2020-04-10,21,12,0.0,13.1,5,76,09:53 PM,07:17 AM,05:38 AM,06:46 PM,7,16,17,16,9,6,55,0.0,1023,21,10,223,7,Italy
2020-04-11,22,14,0.0,13.1,5,68,11:06 PM,07:55 AM,05:36 AM,06:47 PM,7,18,18,18,8,4,52,0.0,1022,22,10,169,6,Italy
