date_time,Zambia_maxtempC,Zambia_mintempC,Zambia_totalSnow_cm,Zambia_sunHour,Zambia_uvIndex,Zambia_moon_illumination,Zambia_moonrise,Zambia_moonset,Zambia_sunrise,Zambia_sunset,Zambia_DewPointC,Zambia_FeelsLikeC,Zambia_HeatIndexC,Zambia_WindChillC,Zambia_WindGustKmph,Zambia_cloudcover,Zambia_humidity,Zambia_precipMM,Zambia_pressure,Zambia_tempC,Zambia_visibility,Zambia_winddirDegree,Zambia_windspeedKmph,Zambia_location
2020-08-11,27,13,0.0,8.7,6,45,No moonrise,11:28 AM,06:25 AM,05:59 PM,-3,21,21,21,18,0,24,0.0,1017,27,10,100,12,Zambia
2020-08-12,29,12,0.0,8.7,6,38,12:24 AM,12:07 PM,06:25 AM,05:59 PM,-1,21,21,21,16,0,27,0.0,1017,29,10,114,11,Zambia
2020-08-13,29,14,0.0,8.7,6,30,01:15 AM,12:51 PM,06:24 AM,05:59 PM,-0,22,22,22,13,0,28,0.0,1016,29,10,129,9,Zambia
2020-08-14,27,13,0.0,8.7,6,23,02:08 AM,01:39 PM,06:24 AM,05:59 PM,-2,21,21,21,23,0,26,0.0,1016,27,10,100,15,Zambia
2020-08-15,29,12,0.0,8.7,6,16,03:03 AM,02:31 PM,06:23 AM,05:59 PM,4,21,21,20,18,1,45,0.0,1015,29,10,94,11,Zambia
2020-08-16,31,14,0.0,11.6,6,8,03:59 AM,03:28 PM,06:23 AM,06:00 PM,0,23,23,23,14,0,29,0.0,1013,31,10,109,9,Zambia
2020-08-17,31,15,0.0,11.6,7,1,04:55 AM,04:28 PM,06:22 AM,06:00 PM,-0,24,24,24,18,0,23,0.0,1013,31,10,93,12,Zambia
2020-08-18,32,15,0.0,11.6,7,0,05:49 AM,05:30 PM,06:21 AM,06:00 PM,5,24,24,23,20,1,37,0.0,1011,32,10,85,12,Zambia
2020-08-19,32,16,0.0,11.6,7,0,06:40 AM,06:31 PM,06:21 AM,06:00 PM,7,25,25,25,14,1,40,0.0,1010,32,10,92,9,Zambia
2020-08-20,29,17,0.0,11.6,6,6,07:29 AM,07:31 PM,06:20 AM,06:00 PM,10,23,23,23,24,7,48,0.0,1012,29,10,95,17,Zambia
2020-08-21,29,16,0.0,11.6,6,13,08:14 AM,08:30 PM,06:20 AM,06:00 PM,10,22,22,22,24,13,56,0.0,1015,29,10,96,17,Zambia
2020-08-22,25,14,0.0,11.6,6,20,08:59 AM,09:29 PM,06:19 AM,06:00 PM,9,19,21,19,24,24,57,0.0,1018,25,10,94,17,Zambia
2020-08-23,26,11,0.0,11.6,6,28,09:44 AM,10:27 PM,06:18 AM,06:00 PM,6,18,19,18,19,16,54,0.0,1017,26,10,98,13,Zambia
2020-08-24,30,12,0.0,11.6,6,35,10:29 AM,11:27 PM,06:18 AM,06:01 PM,4,21,21,21,16,3,41,0.0,1014,30,10,101,10,Zambia
2020-08-25,33,14,0.0,11.6,7,42,11:16 AM,No moonset,06:17 AM,06:01 PM,6,24,24,23,13,3,40,0.0,1013,33,10,88,8,Zambia
2020-08-26,32,16,0.0,11.6,7,50,12:06 PM,12:26 AM,06:16 AM,06:01 PM,6,25,25,24,15,3,35,0.0,1012,32,10,94,9,Zambia
2020-08-27,30,21,0.0,11.6,7,57,12:59 PM,01:26 AM,06:16 AM,06:01 PM,7,26,26,25,19,6,32,0.0,1012,30,10,95,13,Zambia
2020-08-28,34,18,0.0,11.6,7,64,01:55 PM,02:24 AM,06:15 AM,06:01 PM,7,26,26,26,19,4,36,0.0,1010,34,10,89,12,Zambia
2020-08-29,37,18,0.0,11.6,8,71,02:51 PM,03:20 AM,06:14 AM,06:01 PM,6,27,27,27,14,2,32,0.0,1008,37,10,72,9,Zambia
2020-08-30,37,20,0.0,11.6,8,79,03:47 PM,04:13 AM,06:14 AM,06:01 PM,4,28,28,29,13,1,24,0.0,1009,37,10,69,8,Zambia
2020-08-31,34,20,0.0,11.6,7,82,04:41 PM,05:01 AM,06:13 AM,06:01 PM,4,27,27,27,18,1,25,0.0,1010,34,10,109,12,Zambia
2020-09-01,29,19,0.0,11.6,6,97,05:33 PM,05:45 AM,06:12 AM,06:01 PM,10,24,24,24,27,5,48,0.0,1013,29,10,93,19,Zambia
2020-09-02,27,16,0.0,11.6,6,100,06:22 PM,06:25 AM,06:11 AM,06:01 PM,10,22,22,21,27,12,53,0.0,1017,27,10,92,20,Zambia
2020-09-03,27,14,0.0,11.6,5,88,07:11 PM,07:03 AM,06:11 AM,06:02 PM,9,20,21,20,20,17,57,0.0,1018,27,10,100,14,Zambia
2020-09-04,28,14,0.0,11.6,6,81,07:57 PM,07:39 AM,06:10 AM,06:02 PM,5,21,21,21,20,3,43,0.0,1018,28,10,102,13,Zambia
2020-09-05,27,13,0.0,11.6,6,73,08:43 PM,08:14 AM,06:09 AM,06:02 PM,4,20,21,20,21,1,42,0.0,1017,27,10,102,14,Zambia
2020-09-06,26,11,0.0,11.6,6,66,09:30 PM,08:49 AM,06:09 AM,06:02 PM,5,18,20,18,21,2,48,0.0,1015,26,10,95,14,Zambia
2020-09-07,28,11,0.0,11.6,6,58,10:18 PM,09:25 AM,06:08 AM,06:02 PM,4,19,20,19,21,1,43,0.0,1016,28,10,101,14,Zambia
2020-09-08,28,12,0.0,11.6,6,50,11:07 PM,10:03 AM,06:07 AM,06:02 PM,2,20,20,20,21,1,38,0.0,1018,28,10,102,14,Zambia
2020-09-09,27,12,0.0,11.6,6,43,11:58 PM,10:44 AM,06:06 AM,06:02 PM,1,19,20,19,21,0,34,0.0,1019,27,10,102,14,Zambia
