date_time,Japan_maxtempC,Japan_mintempC,Japan_totalSnow_cm,Japan_sunHour,Japan_uvIndex,Japan_moon_illumination,Japan_moonrise,Japan_moonset,Japan_sunrise,Japan_sunset,Japan_DewPointC,Japan_FeelsLikeC,Japan_HeatIndexC,Japan_WindChillC,Japan_WindGustKmph,Japan_cloudcover,Japan_humidity,Japan_precipMM,Japan_pressure,Japan_tempC,Japan_visibility,Japan_winddirDegree,Japan_windspeedKmph,Japan_location
2020-03-15,31,23,0.0,7.4,6,55,10:46 PM,10:42 AM,05:36 AM,05:45 PM,23,30,30,26,10,72,83,16.3,1010,31,9,187,6,Japan
2020-03-16,31,23,0.0,10.2,6,47,11:41 PM,11:40 AM,05:36 AM,05:45 PM,23,30,30,26,17,40,81,6.4,1011,31,10,192,11,Japan
2020-03-17,30,24,0.0,6.0,6,40,No moonrise,12:35 PM,05:36 AM,05:44 PM,23,30,30,26,10,84,84,28.0,1011,30,8,142,5,Japan
2020-03-18,30,24,0.0,6.0,6,33,12:34 AM,01:28 PM,05:36 AM,05:44 PM,24,30,30,26,9,72,86,35.2,1010,30,7,200,5,Japan
2020-03-19,31,24,0.0,10.2,6,25,01:28 AM,02:18 PM,05:36 AM,05:43 PM,23,30,30,26,7,57,84,31.8,1010,31,8,204,4,Japan
2020-03-20,30,23,0.0,6.0,6,18,02:18 AM,03:06 PM,05:36 AM,05:43 PM,23,30,30,26,8,80,84,42.9,1010,30,7,179,4,Japan
2020-03-21,30,23,0.0,8.8,6,11,03:08 AM,03:50 PM,05:36 AM,05:42 PM,23,29,29,26,13,62,86,10.0,1011,30,9,159,8,Japan
2020-03-22,30,23,0.0,10.2,6,4,03:56 AM,04:31 PM,05:36 AM,05:42 PM,23,30,30,26,8,53,84,17.0,1011,30,9,134,5,Japan
2020-03-23,31,22,0.0,8.8,6,0,04:41 AM,05:11 PM,05:36 AM,05:41 PM,23,30,30,26,9,71,84,33.6,1010,31,8,172,4,Japan
2020-03-24,31,23,0.0,8.8,6,0,05:25 AM,05:49 PM,05:36 AM,05:40 PM,23,30,30,26,7,66,83,22.0,1009,31,9,182,4,Japan
2020-03-25,31,24,0.0,8.8,6,3,06:08 AM,06:26 PM,05:36 AM,05:40 PM,24,30,30,27,8,66,85,35.6,1008,31,7,161,4,Japan
2020-03-26,31,24,0.0,10.2,6,11,06:52 AM,07:05 PM,05:36 AM,05:39 PM,24,31,31,27,7,56,84,8.7,1009,31,9,186,5,Japan
2020-03-27,31,23,0.0,8.8,6,18,07:36 AM,07:44 PM,05:35 AM,05:39 PM,24,30,30,26,8,64,85,13.6,1009,31,9,177,5,Japan
2020-03-28,31,23,0.0,10.2,6,25,08:21 AM,08:25 PM,05:35 AM,05:38 PM,24,30,30,26,9,56,85,25.2,1009,31,9,109,5,Japan
2020-03-29,31,23,0.0,7.4,6,32,09:09 AM,09:10 PM,05:35 AM,05:38 PM,23,29,29,26,9,67,85,36.5,1008,31,7,217,5,Japan
2020-03-30,30,22,0.0,8.8,6,40,09:59 AM,09:57 PM,05:35 AM,05:37 PM,23,30,30,26,13,65,87,35.7,1009,30,7,194,7,Japan
2020-03-31,30,23,0.0,6.0,6,44,10:51 AM,10:48 PM,05:35 AM,05:37 PM,24,30,30,26,12,76,87,53.6,1009,30,6,203,6,Japan
2020-04-01,30,23,0.0,7.4,6,56,11:46 AM,11:43 PM,05:35 AM,05:36 PM,23,30,30,26,9,73,86,46.6,1009,30,7,180,5,Japan
2020-04-02,31,24,0.0,8.8,6,64,12:41 PM,No moonset,05:35 AM,05:36 PM,24,31,31,27,5,65,85,30.2,1009,31,8,207,3,Japan
2020-04-03,30,24,0.0,6.0,6,71,01:37 PM,12:40 AM,05:35 AM,05:35 PM,24,31,31,27,9,76,86,31.5,1009,30,7,153,5,Japan
2020-04-04,30,24,0.0,6.0,6,79,02:31 PM,01:40 AM,05:35 AM,05:35 PM,24,31,31,27,10,80,86,33.6,1009,30,7,116,6,Japan
2020-04-05,31,24,0.0,6.0,6,87,03:25 PM,02:38 AM,05:35 AM,05:34 PM,24,30,30,26,13,73,87,47.4,1010,31,7,186,7,Japan
2020-04-06,30,22,0.0,8.8,6,94,04:16 PM,03:37 AM,05:35 AM,05:34 PM,24,30,30,26,13,61,88,21.5,1009,30,8,191,8,Japan
2020-04-07,28,21,0.0,7.4,6,100,05:06 PM,04:35 AM,05:35 AM,05:33 PM,23,27,27,24,13,73,92,53.9,1010,28,7,178,7,Japan
2020-04-08,30,23,0.0,10.2,6,100,05:57 PM,05:33 AM,05:34 AM,05:33 PM,22,29,29,26,15,37,82,0.8,1010,30,10,192,10,Japan
2020-04-09,31,23,0.0,10.2,6,83,06:48 PM,06:30 AM,05:34 AM,05:32 PM,22,29,29,26,18,57,81,12.3,1011,31,9,193,10,Japan
2020-04-10,31,24,0.0,10.2,6,76,07:41 PM,07:29 AM,05:34 AM,05:32 PM,24,31,31,27,13,44,84,6.8,1011,31,9,194,8,Japan
2020-04-11,31,25,0.0,11.6,6,68,08:34 PM,08:28 AM,05:34 AM,05:31 PM,24,31,31,27,16,34,83,1.5,1011,31,10,197,11,Japan
2020-04-12,31,24,0.0,8.8,6,61,09:31 PM,09:28 AM,05:34 AM,05:31 PM,23,30,30,27,7,49,81,18.3,1010,31,8,205,4,Japan
2020-04-13,30,22,0.0,10.2,6,53,10:26 PM,10:26 AM,05:34 AM,05:31 PM,22,29,29,26,13,59,81,8.3,1010,30,9,204,7,Japan
2020-04-14,30,23,0.0,8.8,6,46,11:21 PM,11:22 AM,05:34 AM,05:30 PM,23,29,29,26,8,64,83,17.3,1011,30,9,154,5,Japan
2020-04-15,31,23,0.0,10.2,6,38,No moonrise,12:14 PM,05:34 AM,05:30 PM,23,30,30,26,7,54,82,23.4,1011,31,9,166,4,Japan
2020-04-16,32,24,0.0,7.4,6,30,12:14 AM,01:04 PM,05:34 AM,05:29 PM,24,31,31,27,8,70,84,28.1,1010,32,8,159,4,Japan
