date_time,Saudi%20Arabia_maxtempC,Saudi%20Arabia_mintempC,Saudi%20Arabia_totalSnow_cm,Saudi%20Arabia_sunHour,Saudi%20Arabia_uvIndex,Saudi%20Arabia_moon_illumination,Saudi%20Arabia_moonrise,Saudi%20Arabia_moonset,Saudi%20Arabia_sunrise,Saudi%20Arabia_sunset,Saudi%20Arabia_DewPointC,Saudi%20Arabia_FeelsLikeC,Saudi%20Arabia_HeatIndexC,Saudi%20Arabia_WindChillC,Saudi%20Arabia_WindGustKmph,Saudi%20Arabia_cloudcover,Saudi%20Arabia_humidity,Saudi%20Arabia_precipMM,Saudi%20Arabia_pressure,Saudi%20Arabia_tempC,Saudi%20Arabia_visibility,Saudi%20Arabia_winddirDegree,Saudi%20Arabia_windspeedKmph,Saudi%20Arabia_location
2020-07-03,44,28,0.0,13.4,9,86,05:13 PM,03:15 AM,05:08 AM,06:46 PM,6,37,37,36,23,1,21,0.0,1001,44,10,86,15,Saudi%20Arabia
2020-07-04,44,29,0.0,13.4,9,94,06:14 PM,04:07 AM,05:09 AM,06:46 PM,0,37,37,37,19,4,11,0.0,1001,44,10,69,11,Saudi%20Arabia
2020-07-05,45,30,0.0,13.4,10,100,07:12 PM,05:04 AM,05:09 AM,06:46 PM,-0,38,38,38,11,5,10,0.0,997,45,10,192,7,Saudi%20Arabia
2020-07-06,46,32,0.0,13.4,10,100,08:04 PM,06:03 AM,05:10 AM,06:46 PM,-2,39,39,39,19,7,8,0.0,996,46,10,118,11,Saudi%20Arabia
2020-07-07,46,31,0.0,13.4,10,85,08:49 PM,07:02 AM,05:10 AM,06:46 PM,-1,39,39,39,18,15,9,0.0,997,46,10,110,10,Saudi%20Arabia
2020-07-08,45,30,0.0,13.4,10,77,09:30 PM,07:59 AM,05:10 AM,06:46 PM,0,39,39,39,27,10,10,0.0,999,45,10,316,17,Saudi%20Arabia
2020-07-09,45,31,0.0,13.3,10,70,10:06 PM,08:54 AM,05:11 AM,06:45 PM,-1,39,39,39,26,8,9,0.0,999,45,10,224,15,Saudi%20Arabia
2020-07-10,45,29,0.0,13.3,9,63,10:40 PM,09:48 AM,05:11 AM,06:45 PM,-3,38,38,38,20,3,8,0.0,1000,45,10,297,12,Saudi%20Arabia
2020-07-11,45,32,0.0,13.3,10,55,11:12 PM,10:38 AM,05:12 AM,06:45 PM,-0,39,39,39,36,8,9,0.0,998,45,10,259,24,Saudi%20Arabia
2020-07-12,45,29,0.0,13.3,9,48,11:43 PM,11:29 AM,05:12 AM,06:45 PM,1,37,37,37,18,5,11,0.0,996,45,10,126,12,Saudi%20Arabia
2020-07-13,44,29,0.0,13.3,9,41,No moonrise,12:19 PM,05:13 AM,06:45 PM,2,37,37,37,21,8,12,0.0,997,44,10,91,13,Saudi%20Arabia
2020-07-14,43,31,0.0,13.3,9,34,12:15 AM,01:10 PM,05:13 AM,06:44 PM,4,37,37,37,23,24,13,0.0,1000,43,10,172,14,Saudi%20Arabia
2020-07-15,45,32,0.0,13.3,10,26,12:48 AM,02:02 PM,05:14 AM,06:44 PM,-1,40,40,39,20,14,9,0.0,1000,45,10,221,13,Saudi%20Arabia
2020-07-16,44,31,0.0,13.3,9,19,01:25 AM,02:56 PM,05:14 AM,06:44 PM,1,38,38,38,30,18,11,0.0,998,44,10,102,19,Saudi%20Arabia
2020-07-17,44,28,0.0,13.3,9,12,02:05 AM,03:52 PM,05:14 AM,06:44 PM,-0,37,37,37,20,27,11,0.0,999,44,10,152,12,Saudi%20Arabia
2020-07-18,44,29,0.0,13.3,9,5,02:50 AM,04:49 PM,05:15 AM,06:43 PM,-3,37,37,37,26,3,9,0.0,999,44,10,134,17,Saudi%20Arabia
2020-07-19,43,28,0.0,13.3,9,0,03:42 AM,05:47 PM,05:15 AM,06:43 PM,4,35,35,36,26,14,15,0.0,1000,43,10,141,17,Saudi%20Arabia
2020-07-20,46,31,0.0,13.3,10,0,04:39 AM,06:42 PM,05:16 AM,06:43 PM,9,39,39,38,22,14,19,0.0,1000,46,10,67,14,Saudi%20Arabia
2020-07-21,45,32,0.0,13.3,10,2,05:40 AM,07:34 PM,05:16 AM,06:42 PM,0,39,39,39,41,17,10,0.0,999,45,10,62,27,Saudi%20Arabia
2020-07-22,44,30,0.0,13.3,9,10,06:43 AM,08:21 PM,05:17 AM,06:42 PM,-1,37,37,37,29,3,9,0.0,997,44,10,117,18,Saudi%20Arabia
2020-07-23,42,32,0.0,13.2,9,17,07:47 AM,09:04 PM,05:17 AM,06:41 PM,12,37,37,37,25,19,23,0.0,999,42,10,144,17,Saudi%20Arabia
2020-07-24,44,29,0.0,13.2,9,24,08:50 AM,09:45 PM,05:18 AM,06:41 PM,9,36,36,36,18,4,21,0.0,1000,44,10,105,12,Saudi%20Arabia
2020-07-25,43,29,0.0,13.2,9,32,09:53 AM,10:24 PM,05:18 AM,06:41 PM,10,37,37,37,22,2,23,0.0,1001,43,10,114,14,Saudi%20Arabia
2020-07-26,42,31,0.0,13.2,9,39,10:54 AM,11:03 PM,05:19 AM,06:40 PM,11,37,37,36,22,3,23,0.0,1003,42,10,133,15,Saudi%20Arabia
2020-07-27,44,31,0.0,13.2,8,46,11:55 AM,11:42 PM,05:19 AM,06:40 PM,8,37,37,37,16,24,18,0.0,1003,44,10,173,10,Saudi%20Arabia
2020-07-28,45,33,0.0,13.2,10,53,12:57 PM,No moonset,05:20 AM,06:39 PM,6,39,39,39,28,15,14,0.0,1000,45,10,183,19,Saudi%20Arabia
2020-07-29,44,32,0.0,13.2,10,61,02:00 PM,12:24 AM,05:20 AM,06:38 PM,9,39,39,38,17,6,19,0.0,1001,44,10,201,10,Saudi%20Arabia
2020-07-30,47,34,0.0,13.2,9,68,03:03 PM,01:10 AM,05:21 AM,06:38 PM,6,41,41,40,25,22,13,0.0,999,47,10,135,16,Saudi%20Arabia
2020-07-31,47,31,0.0,13.2,10,72,04:04 PM,02:00 AM,05:21 AM,06:37 PM,6,41,41,39,18,25,16,0.0,998,47,10,83,13,Saudi%20Arabia
2020-08-01,46,31,0.0,13.2,10,82,05:02 PM,02:54 AM,05:21 AM,06:37 PM,4,41,41,40,16,29,13,0.0,997,46,10,98,11,Saudi%20Arabia
2020-08-02,45,33,0.0,13.1,9,90,05:56 PM,03:51 AM,05:22 AM,06:36 PM,5,40,40,40,17,43,13,0.0,998,45,10,204,10,Saudi%20Arabia
2020-08-03,46,30,0.0,13.1,10,97,06:43 PM,04:50 AM,05:22 AM,06:36 PM,2,38,38,38,21,7,11,0.0,999,46,10,209,14,Saudi%20Arabia
2020-08-04,45,30,0.0,13.1,10,100,07:26 PM,05:48 AM,05:23 AM,06:35 PM,0,38,38,38,21,0,10,0.0,998,45,10,276,13,Saudi%20Arabia
2020-08-05,44,29,0.0,13.1,9,88,08:04 PM,06:44 AM,05:23 AM,06:34 PM,-2,37,37,37,27,0,9,0.0,998,44,10,298,17,Saudi%20Arabia
2020-08-06,43,29,0.0,13.1,9,81,08:38 PM,07:38 AM,05:24 AM,06:34 PM,-0,36,36,36,37,0,11,0.0,1000,43,10,331,24,Saudi%20Arabia
2020-08-07,42,28,0.0,13.1,9,74,09:11 PM,08:30 AM,05:24 AM,06:33 PM,1,35,35,35,35,0,12,0.0,1000,42,10,329,22,Saudi%20Arabia
2020-08-08,43,29,0.0,13.1,9,67,09:42 PM,09:21 AM,05:25 AM,06:32 PM,1,36,36,36,29,2,11,0.0,998,43,10,330,18,Saudi%20Arabia
2020-08-09,43,29,0.0,13.1,9,59,10:13 PM,10:11 AM,05:25 AM,06:31 PM,-2,36,36,36,28,5,10,0.0,999,43,10,261,17,Saudi%20Arabia
2020-08-10,42,28,0.0,13.1,9,52,10:46 PM,11:01 AM,05:26 AM,06:31 PM,-2,35,35,36,25,4,10,0.0,1002,42,10,304,16,Saudi%20Arabia
2020-08-11,41,27,0.0,13.0,9,45,11:21 PM,11:53 AM,05:26 AM,06:30 PM,-2,34,34,34,33,8,11,0.0,1003,41,10,340,21,Saudi%20Arabia
2020-08-12,42,27,0.0,13.0,9,38,11:59 PM,12:45 PM,05:26 AM,06:29 PM,-1,34,34,35,26,4,11,0.0,1003,42,10,215,16,Saudi%20Arabia
2020-08-13,42,28,0.0,13.0,9,30,No moonrise,01:40 PM,05:27 AM,06:28 PM,-2,35,35,35,20,5,10,0.0,1001,42,10,341,13,Saudi%20Arabia
2020-08-14,43,28,0.0,13.0,9,23,12:41 AM,02:36 PM,05:27 AM,06:27 PM,0,35,35,36,22,2,11,0.0,999,43,10,336,14,Saudi%20Arabia
2020-08-15,43,28,0.0,13.0,9,16,01:30 AM,03:33 PM,05:28 AM,06:27 PM,1,36,36,36,23,0,12,0.0,998,43,10,135,14,Saudi%20Arabia
2020-08-16,42,26,0.0,13.0,9,8,02:23 AM,04:28 PM,05:28 AM,06:26 PM,0,34,34,35,15,0,12,0.0,1000,42,10,59,9,Saudi%20Arabia
2020-08-17,43,28,0.0,13.0,9,1,03:23 AM,05:22 PM,05:29 AM,06:25 PM,1,36,36,36,16,3,13,0.0,1000,43,10,246,10,Saudi%20Arabia
2020-08-18,43,27,0.0,13.0,9,0,04:26 AM,06:12 PM,05:29 AM,06:24 PM,-4,34,34,35,24,0,8,0.0,1000,43,10,180,15,Saudi%20Arabia
2020-08-19,42,26,0.0,12.9,9,0,05:31 AM,06:58 PM,05:29 AM,06:23 PM,-6,34,34,34,21,1,8,0.0,1000,42,10,177,13,Saudi%20Arabia
2020-08-20,43,26,0.0,12.9,9,6,06:36 AM,07:41 PM,05:30 AM,06:22 PM,-6,35,35,35,20,3,8,0.0,1001,43,10,55,13,Saudi%20Arabia
2020-08-21,44,27,0.0,12.9,9,13,07:41 AM,08:21 PM,05:30 AM,06:21 PM,-3,36,36,36,17,0,9,0.0,1001,44,10,124,10,Saudi%20Arabia
2020-08-22,45,30,0.0,12.9,10,20,08:44 AM,09:01 PM,05:31 AM,06:21 PM,-3,38,38,37,21,3,8,0.0,999,45,10,176,13,Saudi%20Arabia
2020-08-23,46,31,0.0,12.9,10,28,09:48 AM,09:41 PM,05:31 AM,06:20 PM,0,38,38,38,29,16,9,0.0,998,46,10,237,17,Saudi%20Arabia
2020-08-24,46,29,0.0,12.9,10,35,10:51 AM,10:23 PM,05:31 AM,06:19 PM,1,39,39,38,22,19,11,0.0,999,46,10,130,13,Saudi%20Arabia
2020-08-25,42,29,0.0,12.9,9,42,11:54 AM,11:08 PM,05:32 AM,06:18 PM,6,35,35,36,23,2,18,0.0,1002,42,10,117,14,Saudi%20Arabia
2020-08-26,43,30,0.0,12.9,9,50,12:57 PM,11:57 PM,05:32 AM,06:17 PM,5,36,36,36,27,1,16,0.0,1002,43,10,118,16,Saudi%20Arabia
2020-08-27,41,27,0.0,12.8,9,57,01:59 PM,No moonset,05:33 AM,06:16 PM,2,33,33,34,23,0,14,0.0,1002,41,10,105,14,Saudi%20Arabia
2020-08-28,42,26,0.0,12.8,9,64,02:57 PM,12:49 AM,05:33 AM,06:15 PM,-1,33,33,34,24,0,12,0.0,1002,42,10,65,14,Saudi%20Arabia
2020-08-29,42,25,0.0,12.8,9,71,03:51 PM,01:45 AM,05:33 AM,06:14 PM,-1,33,33,34,25,0,13,0.0,1004,42,10,86,16,Saudi%20Arabia
2020-08-30,41,26,0.0,12.8,9,79,04:40 PM,02:42 AM,05:34 AM,06:13 PM,-2,32,32,34,22,0,11,0.0,1004,41,10,141,14,Saudi%20Arabia
