date_time,Trinidad%20and%20Tobago_maxtempC,Trinidad%20and%20Tobago_mintempC,Trinidad%20and%20Tobago_totalSnow_cm,Trinidad%20and%20Tobago_sunHour,Trinidad%20and%20Tobago_uvIndex,Trinidad%20and%20Tobago_moon_illumination,Trinidad%20and%20Tobago_moonrise,Trinidad%20and%20Tobago_moonset,Trinidad%20and%20Tobago_sunrise,Trinidad%20and%20Tobago_sunset,Trinidad%20and%20Tobago_DewPointC,Trinidad%20and%20Tobago_FeelsLikeC,Trinidad%20and%20Tobago_HeatIndexC,Trinidad%20and%20Tobago_WindChillC,Trinidad%20and%20Tobago_WindGustKmph,Trinidad%20and%20Tobago_cloudcover,Trinidad%20and%20Tobago_humidity,Trinidad%20and%20Tobago_precipMM,Trinidad%20and%20Tobago_pressure,Trinidad%20and%20Tobago_tempC,Trinidad%20and%20Tobago_visibility,Trinidad%20and%20Tobago_winddirDegree,Trinidad%20and%20Tobago_windspeedKmph,Trinidad%20and%20Tobago_location
2020-03-23,28,23,0.0,7.4,6,0,05:47 AM,05:57 PM,06:08 AM,06:17 PM,21,27,27,25,27,51,76,0.5,1015,28,10,68,18,Trinidad%20and%20Tobago
2020-03-24,28,23,0.0,6.1,6,0,06:24 AM,06:41 PM,06:07 AM,06:17 PM,21,27,27,25,26,62,79,0.8,1014,28,10,64,17,Trinidad%20and%20Tobago
2020-03-25,28,23,0.0,7.4,6,3,07:01 AM,07:26 PM,06:07 AM,06:17 PM,21,27,27,25,25,53,79,3.5,1013,28,10,71,16,Trinidad%20and%20Tobago
2020-03-26,28,23,0.0,8.8,6,11,07:38 AM,08:10 PM,06:06 AM,06:17 PM,20,27,27,25,24,36,75,0.4,1011,28,10,70,15,Trinidad%20and%20Tobago
2020-03-27,29,22,0.0,11.6,7,18,08:16 AM,08:57 PM,06:06 AM,06:17 PM,21,27,27,25,19,16,76,0.0,1011,29,10,57,12,Trinidad%20and%20Tobago
2020-03-28,28,23,0.0,7.4,6,25,08:57 AM,09:45 PM,06:05 AM,06:17 PM,22,27,27,25,24,58,80,1.5,1011,28,10,59,16,Trinidad%20and%20Tobago
2020-03-29,29,23,0.0,10.2,6,32,09:41 AM,10:36 PM,06:05 AM,06:17 PM,21,28,28,25,28,52,78,0.8,1013,29,10,64,18,Trinidad%20and%20Tobago
2020-03-30,27,23,0.0,11.6,6,40,10:27 AM,11:29 PM,06:04 AM,06:17 PM,20,27,27,25,26,34,76,0.2,1013,27,10,56,17,Trinidad%20and%20Tobago
2020-03-31,29,22,0.0,11.6,7,44,11:18 AM,No moonset,06:03 AM,06:17 PM,19,27,27,25,22,14,72,0.1,1011,29,10,59,14,Trinidad%20and%20Tobago
2020-04-01,29,22,0.0,11.6,7,56,12:13 PM,12:23 AM,06:03 AM,06:17 PM,19,27,27,25,20,18,71,0.0,1011,29,10,81,13,Trinidad%20and%20Tobago
2020-04-02,30,22,0.0,11.6,7,64,01:11 PM,01:19 AM,06:02 AM,06:17 PM,21,28,28,26,21,22,75,0.0,1012,30,10,96,14,Trinidad%20and%20Tobago
2020-04-03,30,24,0.0,11.6,7,71,02:10 PM,02:14 AM,06:02 AM,06:17 PM,22,29,29,26,16,39,78,0.0,1011,30,10,104,11,Trinidad%20and%20Tobago
2020-04-04,30,24,0.0,11.6,7,79,03:10 PM,03:08 AM,06:01 AM,06:17 PM,22,29,29,27,19,26,74,0.0,1011,30,10,102,12,Trinidad%20and%20Tobago
2020-04-05,29,24,0.0,11.7,6,87,04:09 PM,04:00 AM,06:00 AM,06:17 PM,21,29,29,26,23,39,75,0.1,1012,29,10,91,15,Trinidad%20and%20Tobago
2020-04-06,30,24,0.0,12.2,6,94,05:09 PM,04:50 AM,06:00 AM,06:17 PM,21,29,29,27,23,34,74,0.1,1013,30,10,85,15,Trinidad%20and%20Tobago
2020-04-07,29,24,0.0,10.5,6,100,06:07 PM,05:39 AM,05:59 AM,06:17 PM,22,29,29,26,24,55,78,0.1,1013,29,10,83,15,Trinidad%20and%20Tobago
2020-04-08,30,24,0.0,12.6,7,100,07:07 PM,06:28 AM,05:59 AM,06:17 PM,21,28,28,26,22,31,74,0.1,1013,30,10,80,15,Trinidad%20and%20Tobago
2020-04-09,30,23,0.0,12.6,7,83,08:06 PM,07:18 AM,05:58 AM,06:17 PM,21,28,28,26,22,22,75,0.0,1012,30,10,91,14,Trinidad%20and%20Tobago
2020-04-10,30,23,0.0,12.6,7,76,09:07 PM,08:09 AM,05:58 AM,06:17 PM,21,28,28,26,22,30,76,0.0,1012,30,10,90,14,Trinidad%20and%20Tobago
2020-04-11,30,23,0.0,12.6,7,68,10:07 PM,09:03 AM,05:57 AM,06:17 PM,21,28,28,26,22,22,75,0.0,1014,30,10,86,15,Trinidad%20and%20Tobago
