date_time,Bahrain_maxtempC,Bahrain_mintempC,Bahrain_totalSnow_cm,Bahrain_sunHour,Bahrain_uvIndex,Bahrain_moon_illumination,Bahrain_moonrise,Bahrain_moonset,Bahrain_sunrise,Bahrain_sunset,Bahrain_DewPointC,Bahrain_FeelsLikeC,Bahrain_HeatIndexC,Bahrain_WindChillC,Bahrain_WindGustKmph,Bahrain_cloudcover,Bahrain_humidity,Bahrain_precipMM,Bahrain_pressure,Bahrain_tempC,Bahrain_visibility,Bahrain_winddirDegree,Bahrain_windspeedKmph,Bahrain_location
2020-09-25,35,30,0.0,11.6,8,55,01:37 PM,No moonset,05:28 AM,05:31 PM,24,39,39,33,13,0,58,0.0,1005,35,10,184,8,Bahrain
2020-09-26,35,32,0.0,11.6,8,62,02:26 PM,12:17 AM,05:28 AM,05:30 PM,21,37,37,33,19,0,51,0.0,1004,35,10,159,13,Bahrain
2020-09-27,34,28,0.0,11.6,8,70,03:11 PM,01:15 AM,05:29 AM,05:29 PM,23,37,37,32,22,0,55,0.0,1005,34,10,183,14,Bahrain
2020-09-28,35,32,0.0,11.6,8,78,03:50 PM,02:12 AM,05:29 AM,05:27 PM,22,38,38,33,22,0,54,0.0,1005,35,10,180,14,Bahrain
2020-09-29,35,31,0.0,11.6,8,85,04:25 PM,03:07 AM,05:30 AM,05:26 PM,23,38,38,33,22,0,56,0.0,1005,35,10,172,15,Bahrain
2020-09-30,36,31,0.0,11.6,8,93,04:58 PM,04:01 AM,05:30 AM,05:25 PM,25,41,41,33,32,0,66,0.0,1004,36,10,131,22,Bahrain
2020-10-01,35,31,0.0,11.6,8,97,05:29 PM,04:53 AM,05:30 AM,05:24 PM,25,39,39,33,21,0,63,0.0,1006,35,10,90,14,Bahrain
2020-10-02,35,32,0.0,11.6,8,100,05:59 PM,05:44 AM,05:31 AM,05:23 PM,24,40,40,33,19,1,60,0.0,1009,35,10,88,13,Bahrain
2020-10-03,32,28,0.0,11.6,8,89,06:29 PM,06:35 AM,05:31 AM,05:22 PM,23,36,36,31,22,0,62,0.0,1009,32,10,160,15,Bahrain
2020-10-04,34,31,0.0,11.6,8,82,07:01 PM,07:26 AM,05:32 AM,05:21 PM,22,37,37,32,18,0,56,0.0,1008,34,10,173,12,Bahrain
2020-10-05,34,31,0.0,11.6,8,74,07:36 PM,08:18 AM,05:32 AM,05:20 PM,24,38,38,32,16,0,61,0.0,1008,34,10,179,12,Bahrain
2020-10-06,33,31,0.0,11.6,8,67,08:13 PM,09:11 AM,05:33 AM,05:19 PM,23,37,37,32,15,0,60,0.0,1008,33,10,162,11,Bahrain
2020-10-07,34,26,0.0,11.6,8,60,08:55 PM,10:05 AM,05:33 AM,05:18 PM,23,35,35,31,15,0,59,0.0,1009,34,10,128,10,Bahrain
2020-10-08,33,31,0.0,11.6,8,53,09:42 PM,11:00 AM,05:34 AM,05:17 PM,23,37,37,32,31,0,58,0.0,1011,33,10,294,21,Bahrain
