date_time,United%20States%2C%20North%20Dakota_maxtempC,United%20States%2C%20North%20Dakota_mintempC,United%20States%2C%20North%20Dakota_totalSnow_cm,United%20States%2C%20North%20Dakota_sunHour,United%20States%2C%20North%20Dakota_uvIndex,United%20States%2C%20North%20Dakota_moon_illumination,United%20States%2C%20North%20Dakota_moonrise,United%20States%2C%20North%20Dakota_moonset,United%20States%2C%20North%20Dakota_sunrise,United%20States%2C%20North%20Dakota_sunset,United%20States%2C%20North%20Dakota_DewPointC,United%20States%2C%20North%20Dakota_FeelsLikeC,United%20States%2C%20North%20Dakota_HeatIndexC,United%20States%2C%20North%20Dakota_WindChillC,United%20States%2C%20North%20Dakota_WindGustKmph,United%20States%2C%20North%20Dakota_cloudcover,United%20States%2C%20North%20Dakota_humidity,United%20States%2C%20North%20Dakota_precipMM,United%20States%2C%20North%20Dakota_pressure,United%20States%2C%20North%20Dakota_tempC,United%20States%2C%20North%20Dakota_visibility,United%20States%2C%20North%20Dakota_winddirDegree,United%20States%2C%20North%20Dakota_windspeedKmph,United%20States%2C%20North%20Dakota_location
2020-04-03,0,-9,0.0,13.0,1,71,12:45 PM,03:22 AM,05:24 AM,06:20 PM,-11,-10,-5,-10,18,38,64,0.0,1027,0,10,271,13,United%20States%2C%20North%20Dakota
2020-04-04,7,-7,0.0,13.0,2,79,02:02 PM,04:00 AM,05:22 AM,06:22 PM,-6,-6,-1,-6,27,13,66,0.0,1018,7,10,152,20,United%20States%2C%20North%20Dakota
2020-04-05,8,-1,0.0,13.0,1,87,03:23 PM,04:33 AM,05:20 AM,06:23 PM,-3,1,4,1,22,26,62,0.0,1012,8,10,86,16,United%20States%2C%20North%20Dakota
2020-04-06,10,3,0.0,10.7,2,94,04:44 PM,05:02 AM,05:18 AM,06:24 PM,4,3,6,3,19,68,84,0.7,1004,10,9,80,14,United%20States%2C%20North%20Dakota
2020-04-07,14,7,0.0,13.1,3,100,06:06 PM,05:30 AM,05:16 AM,06:26 PM,2,8,11,8,30,53,58,1.1,1002,14,10,276,21,United%20States%2C%20North%20Dakota
2020-04-08,6,2,0.0,13.1,1,100,07:28 PM,05:57 AM,05:14 AM,06:27 PM,-7,-0,5,-0,38,38,46,0.1,1016,6,8,278,30,United%20States%2C%20North%20Dakota
2020-04-09,5,-2,0.0,13.2,2,83,08:48 PM,06:25 AM,05:13 AM,06:28 PM,-10,-3,1,-3,25,9,42,0.0,1022,5,10,306,19,United%20States%2C%20North%20Dakota
2020-04-10,11,-0,0.0,10.7,2,76,10:07 PM,06:57 AM,05:11 AM,06:30 PM,-8,2,5,2,18,55,40,0.0,1012,11,10,124,13,United%20States%2C%20North%20Dakota
2020-04-11,4,1,0.3,8.3,1,68,11:21 PM,07:35 AM,05:09 AM,06:31 PM,-4,-1,3,-1,27,89,63,2.9,1012,4,6,63,22,United%20States%2C%20North%20Dakota
2020-04-12,0,-4,0.4,9.5,1,61,No moonrise,08:18 AM,05:07 AM,06:32 PM,-15,-8,-2,-8,29,82,37,0.5,1023,0,9,237,23,United%20States%2C%20North%20Dakota
